genename	ensembl	log2FoldChange	chromosome_name	idx
RTS1	YOR014W	1.00040583207075	15	71
TPO3	YPR156C	1.06386665214892	16	167
NUP192	YJL039C	1.08525673210846	10	73
MUD2	YKL074C	1.09047021213253	11	58
DNM1	YLL001W	1.11514630560676	12	29
MMM1	YLL006W	1.16917026277184	12	27
STF2	YGR008C	1.18583202683074	7	101
BLS1	YLR408C	1.20825889567172	12	186
IZH2	YOL002C	1.21269177224071	15	64
ULP2	YIL031W	1.21853845726604	9	58
CTF19	YPL018W	1.23779329348223	16	103
SPR28	YDR218C	1.26745639316606	4	180
RPL22B	YFL034C-A	1.28404587804599	6	12
PLB2	YMR006C	1.31268478483768	13	55
ATO3	YDR384C	1.3395494318651	4	248
FMP40	YPL222W	1.34146011543391	16	26
RCK2	YLR248W	1.36103367823454	12	126
PRR2	YDL214C	1.37823578815256	4	14
NCR1	YPL006W	1.45982262580388	16	108
VPS45	YGL095C	1.46551985947521	7	65
SAS2	YMR127C	1.48117298079986	13	104
SHE4	YOR035C	1.51056986697967	15	79
ORM1	YGR038W	1.54138728467382	7	112
SET6	YPL165C	1.54632086884263	16	47
ASE1	YOR058C	1.54746751153061	15	86
SDS23	YGL056C	1.55260109771881	7	79
CMP2	YML057W	1.58070087458142	13	32
BNR1	YIL159W	1.61345576606419	9	8
BOP3	YNL042W	1.64490313122452	14	109
SPI1	YER150W	1.65550975317581	5	93
ULI1	YFR026C	1.65872218785575	6	41
VRP1	YLR337C	1.66102660947453	12	160
CRF1	YDR223W	1.66829336088542	4	182
SOR1	YJR159W	1.69848556266264	10	147
YKE4	YIL023C	1.75885551349549	9	61
VTC1	YER072W	1.79120888158867	5	60
SPG5	YMR191W	1.79687009932939	13	129
LDS2	YOL047C	1.8072471119006	15	48
NGR1	YBR212W	1.89128669256209	2	129
FRE6	YLL051C	1.92643368011761	12	7
MLF3	YNL074C	1.94046422172493	14	97
PTP2	YOR208W	1.95249401895011	15	146
HSP150	YJL159W	1.9789768240277	10	24
UTP5	YDR398W	1.98666259101085	4	253
PMP1	YCR024C-A	2.00423432360814	3	32
GLK1	YCL040W	2.08284530958666	3	10
SML1	YML058W	2.09820403483523	13	31
PFK26	YIL107C	2.11825067141812	9	32
BET3	YKR068C	2.15731232025138	11	114
HEM1	YDR232W	2.19383370073852	4	185
TIP1	YBR067C	2.22226690966498	2	74
PRP45	YAL032C	2.2924867780915	1	16
YSC84	YHR016C	2.31344225944456	8	27
APE1	YKL103C	2.32023536868966	11	49
ARN1	YHL040C	2.35051518235934	8	3
ELO3	YLR372W	2.3866334173985	12	173
OSW2	YLR054C	2.39490427364204	12	49
NCS6	YGL211W	2.41839045950893	7	18
ECM8	YBR076W	2.42783574586535	2	78
PDR5	YOR153W	2.43706792052207	15	123
TAD2	YJL035C	2.44540085535649	10	76
NGL3	YML118W	2.45801939733203	13	6
COS10	YNR075W	2.4773633680284	14	155
UFO1	YML088W	2.48373740730449	13	18
INA1	YLR413W	2.48899868775413	12	190
GTO3	YMR251W	2.49010247413594	13	154
MDH2	YOL126C	2.53877210235758	15	16
NCE103	YNL036W	2.5490754129563	14	111
THI21	YPL258C	2.59442287333512	16	10
FAR3	YMR052W	2.62495365935047	13	75
FLC2	YAL053W	2.63572203464004	1	9
GSC2	YGR032W	2.65901199326973	7	109
DFR1	YOR236W	2.673040122781	15	156
DSE4	YNR067C	2.73907578102862	14	151
PET309	YLR067C	2.91757669430049	12	53
SNZ1	YMR096W	2.94548180713821	13	91
VPS35	YJL154C	3.01336516643615	10	26
GPI15	YNL038W	3.02050309165357	14	111
CRH1	YGR189C	3.21433034723842	7	175
VHR2	YER064C	3.22386427266444	5	56
REX3	YLR107W	3.28179452073988	12	72
FUN19	YAL034C	3.46830899365499	1	16
LSB6	YJL100W	3.47597639872078	10	47
CTL1	YMR180C	3.52449621812352	13	124
HXT10	YFL011W	3.53621707233235	6	22
MPH1	YIR002C	3.6079682433967	9	71
SED1	YDR077W	3.68359124490308	4	120
RFX1	YLR176C	3.69762519509644	12	101
LAP2	YNL045W	3.70709063593809	14	108
COS1	YNL336W	3.7326179960489	14	1
RGA2	YDR379W	3.78242032332547	4	246
COS111	YBR203W	3.99449368179689	2	125
ATG8	YBL078C	4.19881929935009	2	16
MET14	YKL001C	4.33147751544805	11	87
YET2	YMR040W	4.60072518301974	13	70
COS4	YFL062W	4.69299085333665	6	1
SLI1	YGR212W	4.83100895149186	7	183
ATG17	YLR423C	5.24893060622208	12	194
