genename	ensembl	log2FoldChange	chromosome_name	idx
AQY1	YPR192W	1.25272614006727	16	184
ATO3	YDR384C	1.3395494318651	4	248
FMP40	YPL222W	1.34146011543391	16	26
PRR2	YDL214C	1.37823578815256	4	14
SOH1	YGL127C	1.44089411017376	7	54
DAP1	YPL170W	1.44726196282361	16	45
ERG8	YMR220W	1.48626458804302	13	142
ORM1	YGR038W	1.54138728467382	7	112
SDS23	YGL056C	1.55260109771881	7	79
CMP2	YML057W	1.58070087458142	13	32
RAM2	YKL019W	1.72877943990099	11	80
HSP12	YFL014W	1.73686105699018	6	21
BSC2	YDR275W	1.89458122546287	4	202
PMP1	YCR024C-A	2.00423432360814	3	32
LSM5	YER146W	2.02329761010367	5	92
COX12	YLR038C	2.02808285553628	12	44
SIP4	YJL089W	2.03549474146605	10	53
GLK1	YCL040W	2.08284530958666	3	10
SML1	YML058W	2.09820403483523	13	31
SCM4	YGR049W	2.18655742023557	7	118
TIP1	YBR067C	2.22226690966498	2	74
IRC23	YOR044W	2.2458296436103	15	82
SLM4	YBR077C	2.36497043810644	2	78
SNA3	YJL151C	2.42823972273926	10	27
PDR5	YOR153W	2.43706792052207	15	123
UFO1	YML088W	2.48373740730449	13	18
TBS1	YBR150C	2.50453690973005	2	108
MDH2	YOL126C	2.53877210235758	15	16
ADO1	YJR105W	2.55746745765277	10	124
SRO9	YCL037C	2.91438615784855	3	11
ENT2	YLR206W	2.99042005243327	12	110
VHR2	YER064C	3.22386427266444	5	56
LSB6	YJL100W	3.47597639872078	10	47
APC1	YNL172W	3.50943636091258	14	62
MPH1	YIR002C	3.6079682433967	9	71
SED1	YDR077W	3.68359124490308	4	120
COS111	YBR203W	3.99449368179689	2	125
MOT3	YMR070W	4.30711726789712	13	81
MRS3	YJL133W	4.93349101073655	10	32
