genename	ensembl	log2FoldChange	chromosome_name	idx
ARA1	YBR149W	-3.03129155632671	2	107
POC4	YPL144W	-2.82173493855114	16	56
MSG5	YNL053W	-2.63741259874676	14	105
PHO5	YBR093C	-2.33685584582782	2	85
MHO1	YJR008W	-2.28845148900027	10	90
FAA1	YOR317W	-2.28507511613802	15	181
PAC10	YGR078C	-2.25726703757643	7	127
INP2	YMR163C	-2.17785805365854	13	116
ICL1	YER065C	-2.16728117900204	5	57
HTB2	YBL002W	-2.14605526921855	2	47
RPI1	YIL119C	-2.04437810227132	9	27
MSF1	YPR047W	-1.91082477900791	16	131
CDD1	YLR245C	-1.89168637680357	12	125
BUD20	YLR074C	-1.85126194382163	12	56
ECL1	YGR146C	-1.79265132007444	7	156
RTK1	YDL025C	-1.74855571389599	4	81
SGF29	YCL010C	-1.7449466851763	3	20
SHU1	YHL006C	-1.72763088857206	8	19
ARF2	YDL137W	-1.69756226095545	4	43
NSR1	YGR159C	-1.68304574052498	7	161
SDS24	YBR214W	-1.68146309547663	2	130
JLP2	YMR132C	-1.6404415720978	13	106
NHP2	YDL208W	-1.62387347587547	4	17
CSS1	YIL169C	-1.61669868751623	9	4
NEJ1	YLR265C	-1.54288242251663	12	134
ASI2	YNL159C	-1.51789705653041	14	67
BNA3	YJL060W	-1.51203973115739	10	64
ADA2	YDR448W	-1.510107397605	4	271
ZEO1	YOL109W	-1.50904111590256	15	22
CGR1	YGL029W	-1.4775675770138	7	88
FYV5	YCL058C	-1.47609590362552	3	4
RPS21A	YKR057W	-1.46723262010306	11	110
ATG36	YJL185C	-1.44777508901413	10	16
SUT2	YPR009W	-1.43832064940524	16	115
ARF3	YOR094W	-1.43152253400295	15	100
RPL9A	YGL147C	-1.4315124658488	7	45
GLC3	YEL011W	-1.42201731594867	5	26
RCF2	YNR018W	-1.42034676481015	14	132
YNG1	YOR064C	-1.39791035338042	15	89
SAM1	YLR180W	-1.37944447814917	12	103
RRS1	YOR294W	-1.34805119774053	15	173
GPG1	YGL121C	-1.30351054678726	7	56
NOC2	YOR206W	-1.29591603096196	15	145
VAC17	YCL063W	-1.2865815876244	3	3
MRT4	YKL009W	-1.28553077003871	11	85
PRM3	YPL192C	-1.26945180354028	16	36
SPO12	YHR152W	-1.26168949694675	8	80
CWH41	YGL027C	-1.21034197214038	7	88
AMD2	YDR242W	-1.20390743447839	4	189
GPI14	YJR013W	-1.19844648213573	10	92
TEF4	YKL081W	-1.1907380638441	11	56
RPS25B	YLR333C	-1.18520259930789	12	159
RPA34	YJL148W	-1.17659727293706	10	28
PPN1	YDR452W	-1.1742992264906	4	272
TIM10	YHR005C-A	-1.15437458015842	8	23
RPS2	YGL123W	-1.12406071387768	7	55
ARK1	YNL020C	-1.11909440227613	14	119
SHH3	YMR118C	-1.11350858842946	13	100
RPP1B	YDL130W	-1.10207002256257	4	45
YMC1	YPR058W	-1.10177128864315	16	134
SSK22	YCR073C	-1.10086188825112	3	48
PKH1	YDR490C	-1.09234373813766	4	286
TFA2	YKR062W	-1.07704411176904	11	111
RPL38	YLR325C	-1.06414704642203	12	156
PTK1	YKL198C	-1.05555220954426	11	13
CHS7	YHR142W	-1.0331024323863	8	76
SYM1	YLR251W	-1.01342381685217	12	128
ALB1	YJL122W	-1.00829878279581	10	37
DML1	YMR211W	-1.0054825627387	13	137
